country,code,latest_year,latest_tb_cases,latest_tb_incidence,country_encoded,prev_tb_cases,prev_tb_incidence,avg_prev_tb_cases,avg_prev_tb_incidence,case_trend,incidence_trend
Mozambique,MOZ,2024,125000.0,361.0,130,121000.0,361.0,87750.0,353.375,3000.0,0.0
Myanmar,MMR,2024,263000.0,482.0,131,261000.0,482.0,227625.0,461.4166666666667,28000.0,48.0
Namibia,NAM,2024,13000.0,422.0,132,13000.0,432.0,17833.333333333332,826.5,0.0,-9.0
Nauru,NRU,2024,19.0,161.0,133,18.0,152.0,8.666666666666666,79.16666666666667,-1.0,-9.0
Nepal,NPL,2024,67000.0,227.0,134,69000.0,231.0,82666.66666666667,304.9583333333333,-1000.0,-3.0
Netherlands,NLD,2024,860.0,4.7,135,820.0,4.5,1106.6666666666667,6.566666666666666,100.0,0.5
Netherlands Antilles,ANT,2009,5.0,2.2,136,5.0,2.4,8.0,4.1,0.0,-0.30000000000000027
New Caledonia,NCL,2024,52.0,18.0,137,49.0,17.0,86.66666666666667,34.25,1.0,0.0
New Zealand,NZL,2024,410.0,7.9,138,350.0,6.7,389.5833333333333,8.825000000000001,40.0,0.6000000000000005
Nicaragua,NIC,2024,3000.0,43.0,139,3000.0,44.0,4075.0,71.25,-100.0,-1.0
Niger,NER,2024,23000.0,86.0,140,22000.0,83.0,18354.166666666668,104.08333333333333,1000.0,2.0
Nigeria,NGA,2024,510000.0,219.0,141,499000.0,219.0,383458.3333333333,219.0,10000.0,0.0
Niue,NIU,2024,1.0,55.0,142,0.0,0.0,0.3333333333333333,18.833333333333332,0.0,0.0
North Macedonia,MKD,2024,210.0,11.0,143,210.0,11.0,654.5833333333334,32.125,20.0,1.0
Northern Mariana Islands,MNP,2024,15.0,35.0,144,34.0,75.0,76.875,134.54166666666666,-1.0,-2.0
Norway,NOR,2024,180.0,3.3,145,160.0,2.8,310.8333333333333,6.3625,-10.0,-0.40000000000000036
Oman,OMN,2024,600.0,11.0,146,700.0,14.0,504.5833333333333,15.904166666666667,170.0,3.0
Pakistan,PAK,2024,669000.0,266.0,147,662000.0,267.0,550291.6666666666,272.2916666666667,-9000.0,-8.0
Palau,PLW,2024,5.0,28.0,148,15.0,85.0,12.125,65.70833333333333,8.0,46.0
Palestine,PSE,2024,16.0,0.29,149,22.0,0.4,63.041666666666664,1.6308333333333334,-8.0,-0.16999999999999993
Panama,PAN,2024,2800.0,63.0,150,2700.0,61.0,2341.6666666666665,64.16666666666667,600.0,12.0
Papua New Guinea,PNG,2024,70000.0,664.0,151,67000.0,647.0,51500.0,661.7083333333334,2000.0,15.0
Paraguay,PRY,2024,5600.0,81.0,152,5200.0,76.0,4045.8333333333335,69.125,700.0,9.0
Peru,PER,2024,48000.0,139.0,153,50000.0,149.0,53791.666666666664,183.875,0.0,0.0
Philippines,PHL,2024,724000.0,625.0,154,726000.0,632.0,548541.6666666666,555.375,12000.0,5.0
Poland,POL,2024,4400.0,11.0,155,5100.0,13.0,9758.333333333334,25.458333333333332,200.0,0.0
Portugal,PRT,2024,1500.0,15.0,156,1700.0,16.0,3295.8333333333335,31.416666666666668,0.0,0.0
Puerto Rico,PRI,2024,18.0,0.55,157,26.0,0.81,120.75,3.2525,-2.0,-0.04999999999999993
Qatar,QAT,2024,1100.0,37.0,158,1200.0,40.0,881.6666666666666,57.25,0.0,0.0
Romania,ROU,2024,11000.0,60.0,159,12000.0,62.0,26041.666666666668,124.79166666666667,0.0,-2.0
Russia,RUS,2024,49000.0,34.0,160,55000.0,38.0,105625.0,72.875,-1000.0,-1.0
Rwanda,RWA,2024,8800.0,62.0,161,8700.0,62.0,10408.333333333334,103.125,200.0,0.0
Saint Kitts and Nevis,KNA,2024,1.0,1.1,162,1.0,2.1,1.7916666666666667,3.8375,0.0,0.30000000000000004
Saint Lucia,LCA,2024,1.0,0.56,163,2.0,1.1,10.291666666666666,6.091666666666666,0.0,0.0
Saint Vincent and the Grenadines,VCT,2024,5.0,4.6,164,4.0,3.9,9.708333333333334,8.941666666666666,-1.0,-1.0000000000000004
Samoa,WSM,2024,12.0,5.5,165,13.0,6.0,20.625,10.629166666666666,4.0,1.7999999999999998
San Marino,SMR,2024,0.0,0.0,166,0.0,0.0,0.125,0.45416666666666666,0.0,0.0
Sao Tome and Principe,STP,2024,210.0,87.0,167,170.0,73.0,286.6666666666667,161.0,-30.0,-14.0
Saudi Arabia,SAU,2024,2900.0,8.4,168,2800.0,8.4,3666.6666666666665,15.120833333333332,0.0,-0.40000000000000036
Senegal,SEN,2024,24000.0,132.0,169,24000.0,133.0,22208.333333333332,166.91666666666666,0.0,-1.0
Serbia,SRB,2024,590.0,8.7,170,1300.0,20.0,2873.684210526316,39.26315789473684,100.0,3.0
Seychelles,SYC,2024,22.0,17.0,171,23.0,18.0,16.0,16.183333333333334,7.0,5.0
Sierra Leone,SLE,2024,32000.0,372.0,172,32000.0,380.0,30666.666666666668,483.6666666666667,0.0,-8.0
Singapore,SGP,2024,2500.0,43.0,173,2400.0,41.0,2483.3333333333335,49.875,-600.0,-12.0
