Model,MAE,RMSE,R2 Score,Accuracy Percent
Linear Regression,76385.57065103743,279453.17023720127,0.01811276248559346,1.8112762485593459
Decision Tree,45457.58272742002,152869.27149398247,0.706178260600411,70.6178260600411
Random Forest,30237.206641280012,103014.5166233813,0.8665740229940383,86.65740229940383
